站点编号,小客车上行_零值个数,小客车上行_总样本数,小客车上行_零值占比(%),小客车下行_零值个数,小客车下行_总样本数,小客车下行_零值占比(%),非小客车上行_零值个数,非小客车上行_总样本数,非小客车上行_零值占比(%),非小客车下行_零值个数,非小客车下行_总样本数,非小客车下行_零值占比(%)
S50L090431224,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S50L110431202,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S50L120431202,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S51L010430423,8,1457,0.55,3,1457,0.21,98,1457,6.73,58,1457,3.98
S51L020430407,4,1457,0.27,3,1457,0.21,115,1457,7.89,32,1457,2.2
S52L010430281,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S70L010431321,3,1457,0.21,3,1457,0.21,3,1457,0.21,5,1457,0.34
S70L020431382,3,1457,0.21,3,1457,0.21,3,1457,0.21,4,1457,0.27
S70L030431322,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
S71L010430623,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L020430921,3,1457,0.21,3,1457,0.21,24,1457,1.65,3,1457,0.21
S71L050430903,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L060430124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L070430381,4,1457,0.27,4,1457,0.27,4,1457,0.27,4,1457,0.27
S71L080430381,3,1457,0.21,3,1457,0.21,3,1457,0.21,4,1457,0.27
S71L090431321,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S71L100430421,3,1457,0.21,5,1457,0.34,4,1457,0.27,5,1457,0.34
S71L110430426,4,1457,0.27,4,1457,0.27,12,1457,0.82,58,1457,3.98
S78L010430424,6,1457,0.41,6,1457,0.41,114,1457,7.82,73,1457,5.01
S80L010430407,3,1457,0.21,3,1457,0.21,3,1457,0.21,9,1457,0.62
S80L020430421,25,1457,1.72,675,1457,46.33,25,1457,1.72,694,1457,47.63
S80L030430521,886,1457,60.81,30,1457,2.06,756,1457,51.89,526,1457,36.1
S81L010431124,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S81L020431125,3,1457,0.21,3,1457,0.21,41,1457,2.81,3,1457,0.21
S86L050431230,15,1457,1.03,26,1457,1.78,17,1457,1.17,37,1457,2.54
S91L010430525,7,1457,0.48,7,1457,0.48,7,1457,0.48,13,1457,0.89
S91L020430581,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
S97L010431221,4,1457,0.27,9,1457,0.62,3,1457,0.21,4,1457,0.27
S99L050433126,3,1457,0.21,3,1457,0.21,3,1457,0.21,3,1457,0.21
